x,y,predicted_cluster,max_membership,membership_cluster_1,membership_cluster_2,membership_cluster_3
-3.076256,1.840881,2,0.926266,0.047034,0.926266,0.026700
-2.422462,1.508746,2,0.985413,0.009688,0.985413,0.004899
-1.567328,1.812572,2,0.969821,0.019295,0.969821,0.010885
-1.401153,1.431060,2,0.962040,0.025700,0.962040,0.012260
-2.380968,1.444197,2,0.988046,0.008001,0.988046,0.003954
-3.518601,0.487021,2,0.837964,0.113657,0.837964,0.048379
-3.190430,0.801927,2,0.892844,0.074436,0.892844,0.032720
-1.640203,0.866165,2,0.949319,0.036948,0.949319,0.013733
-2.340346,2.409460,2,0.932653,0.040320,0.932653,0.027027
-2.320638,2.016261,2,0.968675,0.019642,0.968675,0.011683
-2.840256,1.356194,2,0.952394,0.031876,0.952394,0.015730
-2.855020,1.262677,2,0.948938,0.034476,0.948938,0.016587
-1.243723,0.290876,2,0.762053,0.189041,0.762053,0.048906
-1.609019,1.666415,2,0.980770,0.012571,0.980770,0.006659
-2.534735,0.487760,2,0.905858,0.068756,0.905858,0.025386
-1.935083,1.129355,2,0.990273,0.006809,0.990273,0.002918
-1.790591,1.515297,2,0.995624,0.002923,0.995624,0.001454
-0.558399,1.332451,2,0.749456,0.171377,0.749456,0.079166
0.381202,-0.802797,1,0.918891,0.918891,0.054367,0.026742
1.375997,0.495106,1,0.643977,0.643977,0.153553,0.202471
1.868089,-0.607442,1,0.888160,0.888160,0.044728,0.067112
2.370642,-2.307639,1,0.827032,0.827032,0.073389,0.099578
0.688199,-2.019234,1,0.931708,0.931708,0.041183,0.027109
0.888152,-2.514355,1,0.884468,0.884468,0.066607,0.048925
1.708121,-1.244445,1,0.959609,0.959609,0.018485,0.021906
0.023355,-2.117137,1,0.850481,0.850481,0.100670,0.048849
1.450811,-0.078061,1,0.822614,0.822614,0.079490,0.097896
2.797385,2.205249,3,0.908429,0.056697,0.034874,0.908429
1.531528,-2.088492,1,0.924603,0.924603,0.038034,0.037363
-0.505637,-0.705517,1,0.666503,0.666503,0.267796,0.065701
0.549647,-1.456893,1,0.963762,0.963762,0.022817,0.013421
0.710323,-1.154870,1,0.984459,0.984459,0.009487,0.006054
2.052784,-0.827247,1,0.884402,0.884402,0.044513,0.071085
1.073092,-2.139219,1,0.931537,0.931537,0.038177,0.030287
-0.139746,-1.534939,1,0.845512,0.845512,0.110358,0.044130
1.156974,0.944723,1,0.509033,0.509033,0.227948,0.263019
1.304220,0.081013,1,0.783839,0.783839,0.102229,0.113932
0.800564,-2.303438,1,0.906153,0.906153,0.055116,0.038731
0.427907,-1.797749,1,0.929052,0.929052,0.045273,0.025675
2.902776,-1.903525,1,0.765285,0.765285,0.083908,0.150807
1.870791,-1.993220,1,0.906066,0.906066,0.043553,0.050382
1.945258,-0.576554,1,0.869973,0.869973,0.050078,0.079949
1.074690,-1.044839,1,0.997697,0.997697,0.001270,0.001033
0.676170,-0.509321,1,0.916555,0.916555,0.051910,0.031534
0.836013,-2.348166,1,0.902340,0.902340,0.056948,0.040713
0.177650,-0.810153,1,0.878476,0.878476,0.085430,0.036094
2.463273,-0.824009,1,0.799905,0.799905,0.065820,0.134275
1.105089,-0.685591,1,0.968146,0.968146,0.017226,0.014628
2.244801,-0.758679,1,0.838487,0.838487,0.056971,0.104542
0.871258,0.216918,1,0.734480,0.734480,0.152420,0.113100
1.543005,0.689332,1,0.566607,0.566607,0.162129,0.271264
1.346588,-2.346916,1,0.904477,0.904477,0.050480,0.045043
0.105473,0.816021,2,0.440441,0.425357,0.440441,0.134202
2.578933,-1.197471,1,0.808807,0.808807,0.065595,0.125598
0.893450,0.607589,1,0.607047,0.607047,0.218981,0.173972
0.314363,-1.984200,1,0.900356,0.900356,0.064430,0.035214
1.714661,-1.434066,1,0.956055,0.956055,0.020389,0.023556
1.195903,-1.179787,1,0.998432,0.998432,0.000837,0.000731
1.470060,0.548230,1,0.619696,0.619696,0.153428,0.226876
1.272468,-0.291667,1,0.889937,0.889937,0.054634,0.055428
-0.440138,-1.053590,1,0.742080,0.742080,0.199606,0.058314
0.525416,-2.340694,1,0.885732,0.885732,0.070373,0.043896
0.497478,-1.367536,1,0.960602,0.960602,0.025165,0.014232
1.932722,-2.459032,1,0.859435,0.859435,0.066157,0.074408
1.224505,-1.532586,1,0.986302,0.986302,0.007321,0.006377
0.937862,0.103034,1,0.775501,0.775501,0.125755,0.098743
1.630492,0.471138,1,0.629823,0.629823,0.136827,0.233350
1.076395,-1.765537,1,0.970189,0.970189,0.016584,0.013227
1.020913,-0.733254,1,0.973672,0.973672,0.014670,0.011659
1.341259,-2.192827,1,0.921966,0.921966,0.041163,0.036872
1.272392,-0.748949,1,0.971807,0.971807,0.014418,0.013775
3.213979,1.064529,3,0.768084,0.171308,0.060608,0.768084
0.517405,-1.316122,1,0.964043,0.964043,0.022904,0.013053
0.029246,-1.649778,1,0.877486,0.877486,0.084551,0.037962
1.452484,0.326439,1,0.695285,0.695285,0.128936,0.175778
0.616733,-1.719561,1,0.954152,0.954152,0.028248,0.017599
-0.517831,-1.178933,1,0.733328,0.733328,0.206612,0.060060
0.350068,-1.582383,1,0.932999,0.932999,0.043772,0.023229
2.623139,2.424590,3,0.883764,0.068649,0.047587,0.883764
1.742272,1.326364,3,0.469325,0.357521,0.173154,0.469325
5.629247,1.470062,3,0.803433,0.132951,0.063616,0.803433
2.403214,3.969531,3,0.768300,0.110205,0.121494,0.768300
6.405067,1.562747,3,0.748632,0.166479,0.084889,0.748632
3.131751,2.773244,3,0.962463,0.021948,0.015589,0.962463
5.228698,1.710514,3,0.859186,0.094437,0.046377,0.859186
3.254722,3.121870,3,0.951069,0.027677,0.021254,0.951069
3.934766,2.199075,3,0.991726,0.005338,0.002936,0.991726
3.366177,1.400083,3,0.874705,0.088502,0.036793,0.874705
3.261826,2.286890,3,0.978539,0.013457,0.008004,0.978539
3.732170,2.055738,3,0.987219,0.008353,0.004428,0.987219
3.971539,3.310173,3,0.952664,0.027324,0.020012,0.952664
3.655429,2.781405,3,0.991169,0.005304,0.003527,0.991169
3.553155,2.500068,3,0.997497,0.001546,0.000957,0.997497
2.778442,2.753195,3,0.914702,0.048672,0.036626,0.914702
3.402713,4.174535,3,0.850451,0.077335,0.072214,0.850451
5.073355,2.808677,3,0.909157,0.056188,0.034655,0.909157
2.736943,1.610071,3,0.812942,0.127032,0.060026,0.812942
4.691143,2.710199,3,0.945017,0.034139,0.020845,0.945017
3.980143,1.104331,3,0.842054,0.114253,0.043693,0.842054
4.427438,2.863536,3,0.961079,0.023743,0.015178,0.961079
2.389569,2.122780,3,0.805073,0.118512,0.076416,0.805073
3.763717,2.541973,3,0.999057,0.000584,0.000359,0.999057
3.207829,2.417209,3,0.976395,0.014514,0.009091,0.976395
3.248023,2.622050,3,0.978500,0.012903,0.008597,0.978500
4.971492,0.446673,3,0.702558,0.218602,0.078840,0.702558
3.263150,2.641210,3,0.979247,0.012435,0.008318,0.979247
3.795994,2.202468,3,0.994840,0.003320,0.001840,0.994840
1.743278,2.762396,3,0.664598,0.165888,0.169514,0.664598
5.227350,1.272911,3,0.815354,0.127648,0.056998,0.815354
4.363828,2.237180,3,0.969388,0.019760,0.010852,0.969388
3.438676,1.657681,3,0.931090,0.047106,0.021804,0.931090
3.165544,3.540036,3,0.904579,0.051265,0.044156,0.904579
4.082655,3.885849,3,0.896279,0.057277,0.046444,0.896279
4.677412,2.851269,3,0.942780,0.035104,0.022115,0.942780
5.243935,2.851195,3,0.892708,0.066244,0.041048,0.892708
4.327988,2.262743,3,0.972804,0.017508,0.009688,0.972804
3.566546,1.942061,3,0.974919,0.016573,0.008509,0.974919
4.489584,1.557357,3,0.905325,0.065003,0.029672,0.905325
4.282350,2.347479,3,0.977945,0.014078,0.007977,0.977945
4.671247,3.100695,3,0.933271,0.040103,0.026626,0.933271
5.320646,3.084620,3,0.880696,0.072504,0.046800,0.880696
1.927960,2.446437,3,0.701322,0.161415,0.137263,0.701322
2.327993,2.085376,3,0.783892,0.131500,0.084607,0.783892
5.011228,3.010027,3,0.909783,0.054923,0.035293,0.909783
2.801070,1.689026,3,0.843079,0.105444,0.051477,0.843079
3.532782,1.526752,3,0.914515,0.059412,0.026073,0.914515
2.828860,2.749608,3,0.923190,0.044041,0.032769,0.923190
4.655312,2.987009,3,0.939622,0.036613,0.023764,0.939622
1.208710,2.743493,3,0.513241,0.212078,0.274681,0.513241
3.572034,2.831112,3,0.987134,0.007657,0.005209,0.987134
5.116210,0.849409,3,0.764710,0.167781,0.067509,0.764710
2.908897,2.972725,3,0.925132,0.041976,0.032893,0.925132
1.918406,3.680759,3,0.698834,0.136800,0.164366,0.698834
3.868357,3.177267,3,0.965077,0.020322,0.014601,0.965077
2.929056,3.151011,3,0.915624,0.046367,0.038009,0.915624
4.568472,2.686302,3,0.955622,0.027565,0.016813,0.955622
3.734401,2.716275,3,0.994404,0.003396,0.002200,0.994404
2.636655,2.381977,3,0.885058,0.068417,0.046525,0.885058
